"MEbisque4","MEbrown4","MEdarkorange2","MEdarkred","MEgreen","MEivory","MElightgreen","MEpaleturquoise","MEred","MEsteelblue"
"X100_120417",0.0937313575345434,-0.0598768188161375,0.0990177694810185,-0.0760454670353361,0.17046791471363,-0.0647980958833053,0.0424109897198751,0.093992173945379,-0.199733145907166,-0.0763029572915466
"X101_120418",0.0773445612613273,0.0553016567790853,0.0396991598307019,-0.070980257712841,0.00636989640010099,-0.0618363156381322,-0.0637453337873539,-0.00856572569682001,-0.0126401584905558,0.0255759374725413
"X104_120418",-0.104121737655193,-0.0209189665202147,0.0127866154495193,0.107089462193211,-0.0285506241869267,0.029330752695108,0.0391402023190419,-0.0732442777308127,0.0128678789076282,0.0243591406055973
"X12_120410",0.0864323844815891,0.0219376985082483,0.000809857657480307,-0.0812540426518863,0.0041797990656632,-0.0060415248214291,-0.0330141955464227,0.063583600265906,0.00566659104015817,0.0028407164826176
"X132_120419",0.0649847116170947,0.0442152625975902,0.0847576500155459,-0.0637593935480036,0.0886613072942894,-0.0882096861637581,-0.0426963514808465,-0.019025832706047,-0.0682154563233347,0.0146256450682638
"X134_120419",-0.139354691573859,0.0596759862705666,0.0740298042448054,0.109353770374754,-0.0257404975249021,-0.102570527704019,0.00662086003592839,-0.181917860908415,0.00435944135506129,0.0870870718021689
"X140_120419",0.112765799404669,0.0473749550268816,0.0546576310984395,-0.13408219621772,0.124733871666862,-0.120504986675662,-0.0752642343339969,0.00898419301354061,-0.0844874236951303,-0.051806220305804
"X145_120419",0.0750142469298385,0.0486571547905644,0.00904781838889376,-0.083729428317158,0.00282518504651035,-0.0460218975390428,-0.0776235448775251,0.0763153939022459,-0.0278619674939481,-0.0702821844029873
"X154_120423",0.0233174927255757,-0.00281566676512058,-0.0354619401791062,-0.013902871133726,-0.040722710490001,0.0480364135122272,2.70937963294371e-05,-0.00399235579174519,0.0279830361218497,-0.0664773517414286
"X160_120423",0.0128646430061964,-0.0188421366867955,-0.0995420843231145,-0.0310572468312826,-0.0590959042289198,0.0900547430218722,-0.0048321833976284,-0.0192516636581656,0.051236457473588,-0.0151039647885557
"X162_120423",0.0426256677525789,0.0291553368403045,-0.186799384682227,-0.0309047723074666,-0.0397139307326282,0.0780903581571741,-0.107313802014486,-0.016035925230306,0.120932609442891,-0.130037913575764
"X166_120423",0.030722222861221,0.00586917070753802,0.035472502263266,-0.00535085147128364,0.00651797971028974,0.00255510451160377,-0.017613531172923,0.0294867302549099,-0.00205249676386522,-0.0331631476496092
"X171_120423",0.123648643236485,0.142708614442942,-0.0402373408150918,-0.0797222047859143,-0.125633186994505,-0.0370338607087324,-0.195335545203155,0.0453885485576096,0.13785377006776,-0.0752603505078549
"X173_120424",-0.0258038002170625,-0.0319965971940443,0.0493439408372205,0.00355946649270183,0.0130672445025805,-0.0161062989464263,0.0628970189706026,0.0335470135640131,-0.0604223033491463,0.0317110691607096
"X181_120424",0.0477229315803086,0.0428890044287869,-0.0836074580661351,-0.045421757442723,-0.0399297168849108,0.0178029256136193,-0.0590158006219457,0.037476335036622,0.0768895871974861,-0.0583016026198953
"X185_120424",0.120265486778962,0.0700041066880769,0.0183063226089164,-0.103655324115948,-0.00782416642186054,-0.0621938408956183,-0.0987951272489757,0.0496741660934283,0.0166535554976521,-0.0446220614363036
"X186_120424",0.0843025207189295,0.0502305416406587,0.109847356461254,-0.10881010977031,0.198513772289364,-0.166919629865175,-0.0683747966883959,0.0310524435790354,-0.190817618217137,-0.223531993291218
"X190_120424",0.0966284188792233,0.114887561077053,0.0258003331558304,-0.0935068795759486,-0.0839574557921973,-0.0874299079268552,-0.111924396238395,-0.0293923445880874,0.0555240267867188,-0.0463755363657392
"X193_120424",0.0756700283205301,0.107247953769913,-0.00626705433752144,-0.0576457699942939,-0.0875501341807086,-0.0505270716919483,-0.140137557245903,0.013761693813843,0.0956730923523293,-0.0580080361391546
"X197_120424",0.103706738585609,0.0583448139524769,-0.0456088077147751,-0.0801869309959035,-0.080909931375619,0.00053933815406607,-0.0772061894294957,0.0498378318006268,0.0690684616170594,-0.0315841428131497
"X201_120424",-0.0429703772833263,-0.0151466122616276,0.0151539080952385,0.00767144331709601,0.0227157278080483,-0.0307750161641464,0.0643425821304104,0.00940820832311416,-0.0480657431380705,0.0929153467027385
"X202_120424",0.0210044172471349,-0.0413064283134505,-0.0769214938261477,-0.0421721370965788,-0.0280930122519832,0.0525930750780319,0.019567190273429,0.054051238878906,0.0338773485258228,0.0234348516254482
"X203_120424",-0.080816801612581,-0.0260948651799373,0.0400395128452814,0.0867830082374736,0.0145706253633043,0.0333202527826051,0.0419175509272195,-0.0233161633589252,-0.0194153756199952,-0.00679384398613448
"X204_120424",0.0860355339592907,-0.0700080532471537,-0.0587912390626878,-0.0720852400293831,0.0106413790794344,0.0883074111701585,0.00667357250229306,0.0988249322223921,0.00473968049043286,-0.0517800744375175
"X214_120425",-0.0173107150535043,0.148777816196193,0.13002730240655,0.0187578436411589,0.00457495706612142,-0.138803388256811,-0.109502781431118,-0.123924370194286,-0.0126405808705818,-0.0272144658321439
"X220_120425",0.0222588684620947,0.0804497483401063,0.0372059542645805,0.00048155283339747,-0.0570434722946764,-0.0665647671186979,-0.0908243155967847,-0.0478992419603163,0.0528579968261268,-0.0110109257420956
"X228_120425",-0.0782685966173334,0.0426201119572352,-0.012540469942853,0.0845372297193425,-0.0701568480769079,0.00517564817537198,-0.0236889284814624,-0.0725123948322174,0.0591958153784106,-0.0349697796857926
"X229_120425",0.101018349051897,0.136930808227253,0.13811086155631,-0.127543796805304,0.149960465460509,-0.210106684628149,-0.143309431150454,-0.0560951896792538,-0.10464610797857,-0.0061787770385972
"X231_120425",0.0861804811000691,0.0777330558885336,0.0782356240749698,-0.0839588021355928,0.0296808598466162,-0.100475724382025,-0.0855552930772615,0.00160229873029348,-0.0462358431591377,-0.00774699279824202
"X23_120411",0.0633875420203035,0.019084565791032,-0.052834429767684,-0.0558089147020381,-0.0611012864382984,0.0311085570218533,-0.0409054917928803,0.0252707691531713,0.0381865558581368,-0.0845089881345837
"X232_120425",0.0185879330783543,0.142873437309359,-0.000507592254178249,-0.0171043456510422,-0.111249261112658,-0.100823226092052,-0.14060143128028,-0.100935205718566,0.131298628220349,0.0621279720405966
"X237_120426",0.0923396475663345,0.0846444440632244,-0.026884371177223,-0.0813146347166935,-0.0521570041954655,-0.0386324168928677,-0.120166686175925,0.00518965975765205,0.0755617635759337,0.0136736955912771
"X238_120426",-0.00721885917164202,-0.00814749073499254,-0.0437627879295387,0.00555784842699258,-0.0512915847190848,0.0595950271838007,0.00412386295402245,0.00546592591648434,0.0364341802134979,-0.00906853787783796
"X241_120426",0.0353653598387601,-0.0203371632833453,-0.0782888470515031,-0.0459151800788582,-0.0335391833657025,0.0308140623956327,-0.0023329910581304,0.0393222685705122,0.026664757548939,-0.0495673408962029
"X24_120411",-0.00922554732684114,-0.0305114292256142,0.0302192668150751,0.0276901202142979,0.0720695736804236,-0.00920729017122237,0.0320805180715506,0.0101641358246437,-0.0352645702391727,0.0385516712913083
"X243_120426",0.106544961010731,0.111866385606055,0.0328368028496452,-0.110574319311102,-0.0283981202377019,-0.0805587097222718,-0.102580130004686,0.0348359134466049,0.0226908975268741,-0.0257705688791694
"X244_120426",-0.0665280199726464,-0.0334339901466417,-0.0703807982850916,0.0277516433435842,-0.095855310876164,0.0426503170499199,0.0690190276730877,0.0118651092023195,0.0756583943332719,0.126269651887175
"X251_120426",0.00961507124915077,-0.103006392828637,-0.00925606898754454,-0.014648721134614,0.0195419350522984,0.0687004035571933,0.0720548405018823,0.12209857028322,-0.0565863339950247,0.0306275704689264
"X252_120426",0.0567232510187503,0.0364756354337327,-0.0245341728283692,-0.049828291033258,-0.0332608677642571,0.000443232195578672,-0.0548569976984401,0.0204537879978176,0.0297778947075678,-0.0879104267067019
"X254_120426",-0.0337183824832635,-0.0945739254725069,-0.0704956927402625,0.0493393722549284,-0.000381988664787998,0.0902106944935393,0.0926126191137561,0.0467474051271406,0.0018336522566747,5.78492138500417e-06
"X255_120426",0.0254066265755553,0.0408369415109121,0.0250470618614779,-0.00439651473071925,-0.0114168025815146,-0.0234812997951942,-0.0304300387255042,-0.019697645826556,0.0216728624739298,-0.0201622250180274
"X256_120426",-0.0372062557996939,-0.143344946325948,-0.0484790846026417,0.0155782046474094,0.135765600637786,0.0759437527717505,0.128095472748852,0.026115533734673,-0.0403580596655053,0.129763691283171
"X258_120426",-0.117749543302077,0.00101024083276691,0.0141349102049326,0.103753962717028,-0.0287767830902424,-0.00140783064642174,0.0381886851626414,-0.02772365615106,0.0184987955886112,0.0147892398373983
"X259_120426",-0.0985440598705715,-0.0995835279937689,0.0499382348996923,0.0796893128289203,0.11512131747079,0.0161076519724248,0.130358664663469,-0.0394260441014817,-0.117936826941598,0.0730240648442871
"X273_120430",-0.0208373385751229,0.0254932965343538,-0.0354585770805643,0.0278611221204025,-0.0932450360518243,0.0366102999202101,0.00291515614113811,-0.0423710623536033,0.0680956915726194,-0.00372915248491252
"X280_120430",0.0567476594929529,0.00590896448513857,0.116577728837191,-0.056725869024468,0.104415206947991,-0.0824690766434934,0.0264693491648926,0.0377658616449736,-0.132484386595464,0.0527177940161549
"X28_120411",-0.0227479643137156,0.0990583866337015,0.0182206714111963,0.00558560662060973,-0.0972455156920795,-0.0581870683386939,-0.0564761952145878,-0.0880674043442719,0.0632841862477453,-0.0595352910765986
"X286_120430",0.0352488430538863,0.00882808814325492,-0.0812061339077216,-0.0443547559632601,-0.0100627278736442,0.020023278541892,-0.0487384402849806,0.007000016667273,0.0463028461618118,-0.00482054184713733
"X287_120430",0.089731681458933,0.0399720648947354,0.00539881510970423,-0.0677209500233673,-0.0293170109747883,-0.00764917497667135,-0.0465235779157063,-0.00435599725907668,0.0306538403134534,-0.051707659862311
"X289_120430",0.0184814132106915,0.0475712955366317,0.0856342830203704,-0.0246513114759516,0.0487635878133392,-0.0616142133296558,-0.0304996712184638,-0.00722323198190495,-0.0383525628811637,-0.0126404916885101
"X292_120430",0.0418763732369561,-0.0336347165812296,0.047713625859021,-0.0425900621487594,0.0603417580919509,-0.0111531716417387,0.0362366390912566,0.0959509711126583,-0.0775810724717491,0.0134995036863399
"X299_120430",-0.0324346205642314,-0.0578788617752601,0.0309710613298869,0.0112569212993928,0.120031856213698,-0.0181391176338658,0.0765963853683193,0.00392337999905713,-0.119452031193796,0.056863416980031
"X300_120430",-0.168393312086247,0.0222716607661774,0.0458974374014333,0.145204181455708,-0.0124655720514414,-0.0893891741547991,0.0503780064832243,-0.168920998587985,-0.0440710039413352,0.0909593042587193
"X302_120430",-0.10400215693808,-0.123843407962903,-0.0727533675151969,0.106184065299802,0.0162719213631256,0.146422983201507,0.0862596596405617,-0.0114809764945624,-0.00830515086526015,0.0047308878010189
"X304_120430",-0.00957750965386686,-0.00675780382778137,-0.0975554312605973,-0.00703854255263108,-0.0538340175720467,0.0701730878138097,-0.0199278181737208,-0.0393641465671337,0.0504700388223117,-0.0864409046416469
"X309_120430",0.0193791522904332,0.0489786274840447,0.0454859502005601,-0.0289996112271144,0.0589622514277375,-0.0592768765924217,-0.0402192685675216,-0.0667816180889366,-0.0406025948038996,-0.0758352340179246
"X310_120430",-0.0260408732254849,-0.151546481789709,-0.0314589830160159,0.0651484011561729,0.0326557539641775,0.114937642654637,0.120167497690559,0.0461531936672067,-0.00981851986403231,0.0408006507647608
"X318_120501",-0.0325293174402712,-0.0266024650076388,-0.0176864249418309,0.030146140360102,-0.0111338765153892,0.0223688864634491,0.0313546360439355,-0.0123329045614301,-0.00347735233782671,0.0558167572734291
"X321_120501",0.0090262519645179,0.0499574487805719,0.0411074651146403,0.0328656761711795,-0.0346108414011726,-0.0379729300614789,-0.0320049928936626,-0.0614617845064119,0.0171134262950795,-0.0419973443743377
"X32_120416",0.048337819038197,0.0216786573370108,0.0300261230209893,-0.0338000613890157,0.0033873321277672,-0.0193713533739822,-0.0314791332980922,-0.0274460408762036,0.0186863079948959,0.0375544311211978
"X323_120501",-0.00587528025469459,-0.0204481662768323,0.0109110220844256,0.0146935175417649,0.0366493534170013,0.009134847299944,0.0266706711268667,0.014372120062671,-0.0160017878802493,-0.0442008814995582
"X326_120501",-0.0130910741622969,0.0204606403747469,0.0235629623832946,0.00116267968378548,0.0698601440999125,-0.0181973926897994,-0.0231075208586192,-0.0363143148826685,-0.0103742913213259,0.0564095413566676
"X327_120501",-0.131670854421198,0.0718537844180585,0.0942323809956257,0.129807684453178,-0.114386802640033,-0.093204238544353,0.01640766718677,-0.144577858869322,0.013469984204607,0.0879922127281497
"X33_120416",0.0325041001755532,0.0846824656062276,0.0663088673085626,-0.0189884286657085,0.00351641532875123,-0.0765770143558889,-0.0833442420692257,-0.0278672713986967,0.0156713482061602,-0.0130267540271778
"X34_120416",0.0405756838067529,0.0313174912722692,0.0661261013843355,-0.0612521124944011,0.0627141175280849,-0.102031336367616,-0.0117449339783815,0.0174152706126207,-0.0929504563826776,-0.00660565437447071
"X347_120501",-0.0215487670935652,0.00218498857303698,-0.0332930040686529,0.0246991235961638,-0.0392052899925422,0.0203822190311123,-0.00541414552194836,0.020397698907888,0.0265798566412091,-0.0549768572936787
"X353_120501",-0.00605309707136567,-0.0368344825568663,-0.021287395821517,-0.0267163765007046,-0.0044522513521208,-0.0197540666853936,0.053808270440166,-0.00248834553803066,-0.0380755890270298,0.0806081926929998
"X355_120501",0.0219828732085623,-0.0172740152027593,-0.00723151948869617,-0.014624512305024,-0.00343507950294805,0.0249591006017581,0.0141445757442762,0.0406971018803987,-0.00243839820108126,-0.0483376836506191
"X359_120502",0.0473468702750652,0.0921249704742843,-0.0129322186140205,-0.0468856069099976,-0.0890166650384639,-0.0491034358367567,-0.0821525415533713,-0.0327466591402961,0.0996062123254017,0.0549893870314891
"X363_120502",0.00493473216375304,-0.0700689576105021,-0.000832116254022381,-0.0087919018640616,0.0540245737477086,0.0532448429291778,0.057601839105969,0.0842743559258961,-0.070490968117516,-0.0152569340465744
"X364_120502",0.0383190135543667,-0.0297993069658811,0.0186567325498522,-0.0242580938809091,0.0303905786423043,0.0222738377712207,0.0138443421748454,0.0694004164961509,-0.0548601000923675,-0.0472778882076856
"X366_120502",0.00239091270530754,0.00472117398289825,-0.0142292556875718,-0.00307154162880282,-0.0281406429204935,0.0114080315942467,-0.00359135924717168,0.0233986684032489,-0.000598032470783605,-0.0394056104622403
"X369_120502",0.023028747382654,0.108587211565872,-0.0300886736593542,-0.0136300821172587,-0.127042408711842,-0.0318554592765655,-0.0986518495571784,-0.145807375762073,0.133384418440533,-0.076179673831596
"X371_120502",0.00541168316457423,0.0158633510485872,0.069819365527313,-0.00311223539412974,0.042735076930116,-0.035795889309079,-0.00410085287857821,-0.0259013829993819,-0.0558534249105844,0.054218519348286
"X37_120416",0.0642595283258636,0.014120878221468,0.0736598074312774,-0.0690540008502764,0.0920742637236604,-0.0712780814607567,-0.0204120738263869,0.0423035635646782,-0.096803274721992,-0.111157724290938
"X381_120503",-0.0572273276721523,-0.0942265125005024,-0.0981179202019292,0.0715791532048928,0.00566637189596109,0.113070065792748,0.069684809409964,0.0115281688502697,0.0679219901246972,0.0245776117014485
"X38_120416",0.074863125579464,0.0278009662481705,-0.0841431068503666,-0.0778058416934912,0.0102087446961506,-0.00131113784219933,-0.0286581195025131,-0.00211464371905513,0.0857875738765183,0.16404590507528
"X383_120503",0.00172493202539091,0.0832155241532114,0.0317464634055032,0.0171375114085043,-0.0357320793784037,-0.060670661985147,-0.0791166198493935,-0.0372636250754464,0.0472680977789438,-0.0159406064545304
"X384_120503",-0.165395957618929,0.00282243376284679,-0.0782303391571385,0.16067613724473,-0.00372742781583915,0.0303474040905209,0.0127259409962613,-0.159512947310573,0.055686026825379,-0.0480511316041091
"X389_120503",0.0270889049625495,0.0731244221610299,0.0554637041316779,0.0016355732274947,0.0180907040224241,-0.0713749000186041,-0.0774431545210516,-0.0509140864873955,0.0060078229350764,-0.00134906874058186
"X393_120503",-0.00830279768726951,-0.0199022155429639,-0.101034104751569,0.00498150873653315,-0.0819430068304399,0.0619398081234709,0.0112950396984048,-0.019417157553182,0.0893891075974848,0.00170787402972359
"X397_120503",-0.00916428912134546,0.0133861834216823,0.049449520384194,0.0163228882513673,0.00297362762593958,-0.00580423754807891,0.0181225657444074,-0.00981703677836208,-0.0197382982627858,0.00586814604209561
"X398_120503",-0.0320473600939055,-0.115472565002915,-0.0341534192038835,0.0316638033347223,0.0299681854276507,0.107002207573475,0.100950445598262,0.0697490638158936,-0.0374946051989279,-0.0499043188290294
"X406_120503",-0.0229543371386285,0.026241725808342,0.0549709915183765,-0.0215635188506022,0.0526222322831294,-0.0862139174372824,0.00356875064214025,-0.0165413976061367,-0.0435498103899195,0.0265184782375831
"X407_120503",-0.0537015905257414,0.0382394395789257,0.106340439189617,0.0428683308401914,0.0120311170593122,-0.0479328644655137,0.0143177332065471,-0.0614887687696164,-0.0387559333889737,-0.0108257153895285
"X410_120503",0.0945074229619365,0.00469518666000892,0.0280998929859456,-0.104924792003086,0.0246541429438876,-0.0123712898164297,-0.0258770346802269,0.0817885484921524,-0.0316008066406602,-0.00330538081511359
"X412_120503",-0.0243169712145276,0.0442175178122897,-0.0099607493921535,0.00413639466881326,-0.0667020292988017,0.00285601050395769,-0.0151874447715457,-0.096114298395838,0.0444881213431655,0.0673701624702987
"X419_120507",0.0395982428108897,0.0216306603118511,-0.0265483540687435,-0.0397484168324449,-0.0242719459131558,0.0178206092191826,-0.048347899943839,0.0557282546719488,0.0267125196241482,-0.0338009818082195
"X420_120507",0.0259092922152797,-0.0506641845975354,-0.0408434712997344,-0.0157372741419069,-0.0327968227871936,0.0494952217640703,0.0448542947530786,0.105299336503789,-0.00128669114306013,-0.0343169656856911
"X424_120507",0.00370475846698915,-0.0306211166987505,-0.00688986894952815,-0.00421616737768519,0.0275323250396755,0.00513416950345223,0.0236332333675522,0.0582549643471399,-0.0510690429267461,-0.0988194196430662
"X425_120507",-0.0327945259019215,-0.0478790025931231,0.00601548681222993,0.0298969383151527,0.00319990240998364,0.0649215471054179,0.0574077095233185,0.067683176544993,-0.0182832609311075,0.000612270050139934
"X427_120507",-0.0505664312211188,-0.051448461005003,-0.0802481895305975,0.0446405489375143,-0.00827663075872214,0.0989530687431321,0.0110354146552221,0.0351690907750478,0.0488595359397938,0.0062232247037823
"X429_120507",0.0909630538637709,0.0430118393113567,0.0740683530095432,-0.0885026830158193,0.0823510212600555,-0.0876474366862592,-0.056646708647656,0.00517305710181733,-0.0646731810490459,0.0531802594020683
"X431_120507",0.0711158358057309,0.0404591306942262,-0.0477363958565111,-0.0650466184758935,-0.0242987107433019,-0.00598671104908379,-0.0876400191332724,0.0317717972768723,0.0516428629599099,-0.0271466849555338
"X434_120507",0.0176800815672519,0.00331752577292842,-0.0763601732983305,-0.0155976031528793,-0.0396819689616785,0.0505869806165179,-0.0376446725357268,0.00741644542951139,0.0517535716816859,-0.106039547727014
"X435_120507",-0.0632271406778654,-0.0256431217284352,-0.00356171437518185,0.0426420597488369,0.0201343971700872,0.0434429457833671,0.0140901128100028,0.0462383438497002,0.0125671679896534,0.0863072047543594
"X440_120507",-0.102544327235227,0.0224540186706395,0.0943169009688751,0.120507452131432,0.0452890936151215,-0.0577503995920507,0.0131881295172709,-0.11434317512605,-0.067397254375213,0.0287811952903872
"X44_120416",0.118325908709809,0.00401206534819202,-0.0318326573555996,-0.116872434533104,-0.00762437593356405,-0.0378751104117038,-0.0326370319312518,0.0747144882828765,-0.0129011009815011,0.0304651734046066
"X444_120507",0.00513679222502867,-0.066380856743104,-0.00928723927360684,-0.0157867984167918,0.0906559730214201,0.0306626859782751,0.0661584812393894,0.0523795456365449,-0.0704762579692396,-0.0371348577274863
"X449_120507",0.00987240661193909,0.0908012847800902,-0.0819669693818651,-0.0236527304704558,-0.141261283774904,0.0246498502870878,-0.11760063494613,-0.0844517638377059,0.14483451853585,0.0159072757220343
"X452_120507",-0.00350696638008026,0.0282704439283557,-0.0496303446994923,-0.00537169949574749,-0.02734995253182,0.0171023873252658,-0.0451818244142266,-0.0047244976839129,0.0666523533370891,0.0719082369381761
"X458_120507",0.0656061260725403,-0.0222060042603157,-0.0649382194998177,-0.0817257151660448,0.00490218281766217,0.0643711024976643,-0.00807188567607041,0.0824768056965995,0.00492095788859375,-0.0087472455050039
"X459_120514",0.00353646076227083,-0.0268510265423074,-0.0474897072808468,-0.00174347409608253,-0.0532600603828786,0.0688075687061061,0.0166547212343576,0.0102328092662698,0.0415428474650038,-0.038177922916802
"X469_120514",-0.0574872860361177,-0.0112912077443248,0.00125148927881948,0.0593023360798249,0.0135978608567343,0.00988548505560361,0.0187320478073735,-0.0132062442086994,-0.0162506809879385,0.0120313337808626
"X47_120416",0.0755318867377156,0.0410284558932618,-0.0397924573274503,-0.0648318818986909,-0.0236497496830262,0.000908555670540979,-0.0765238099073153,0.0483147548953927,0.0460767535793604,-0.0510492126186674
"X472_120514",0.0517870557654608,0.0243250406048888,0.0417623312203979,-0.0560007463816558,0.0335962144180321,-0.0509840073010509,-0.0285890114798191,0.0342545441035395,-0.052659759005684,0.00739348190249051
"X482_120514",-0.00546000597139131,0.0200223385693863,-0.0219779353089261,0.017671756226805,-0.0314581133792199,0.0111455766559713,-0.027158831608161,-0.0646137119875038,0.037949202351389,0.00764216223035302
"X485_120515",-0.0630736726749932,0.0691156286853649,0.0260670943262698,0.0335766280431907,-0.0592162671093114,-0.0894405115947537,-0.0274834904362604,-0.0913964387953451,0.0534227883267198,0.115504636094914
"X486_120515",-0.0358214813201246,-0.0925062550490112,-0.0132003668123208,0.0513182406253071,-0.00513026231566921,0.0514388254694886,0.0984235486580963,0.0217500412772215,-0.00424992453771634,0.0417971240678968
"X488_120515",-0.00357266634341073,0.00392861612308981,0.0530378769788736,0.0134630918838359,0.0384037717829962,-0.0168234711405039,-0.0132075252901889,0.0624535562707538,-0.0385070397822477,0.0248904219518979
"X489_120515",-0.124245758415478,0.0194845559424131,0.0422000815344598,0.124634959223828,-0.0425774457198914,0.00404293021326141,0.0252902730148198,-0.122281330153743,0.0206124328443656,0.0282070127928765
"X493_120515",-0.020536020904932,-0.0316678237369175,0.0364506673058743,0.0366341921987869,0.0492904767066052,0.0195481123394178,0.029780621801211,0.0133026678058839,-0.0469193763349926,-0.0182084413941728
"X494_120515",-0.0375502459355416,-0.00519315559583828,0.011535393968153,0.0310046233801123,-0.0308389283965816,-0.0171540666388409,0.0216304124500694,0.0366025297100064,0.0188203042288857,0.0177998355281542
